"","year","i11","i12","i13","i21","i22","i23","gini_pre_tax","Gini"
"2004",2004,0.44,0.31,0.23,0.47,0.34,0.32,44.7,23.9
"2005",2005,0.43,0.31,0.23,0.47,0.34,0.31,44.5,23.9
"2006",2006,0.43,0.31,0.23,0.46,0.34,0.31,44.2,23.7
"2007",2007,0.44,0.32,0.24,0.49,0.38,0.34,45.2,25.2
"2008",2008,0.45,0.33,0.25,0.5,0.39,0.35,46.4,25.1
"2009",2009,0.44,0.32,0.23,0.49,0.38,0.34,58.8,26.9
"2010",2010,0.44,0.33,0.25,0.49,0.37,0.34,51.3,26.9
"2011",2011,0.46,0.34,0.26,0.51,0.39,0.35,50.8,26.6
"2012",2012,0.46,0.34,0.26,0.5,0.38,0.34,51.2,26.5
"2013",2013,0.46,0.34,0.26,0.51,0.38,0.34,51.4,26.8
"2014",2014,0.48,0.35,0.27,0.51,0.39,0.35,53.1,27.7
"2015",2015,0.47,0.34,0.27,0.5,0.37,0.35,51.7,27.4
"2016",2016,0.48,0.35,0.27,0.51,0.38,0.36,50.7,27.7
"2017",2017,0.47,0.34,0.27,0.51,0.38,0.35,49.9,27.6
