"","year","t10s","t10s.1","t10s.2","t10s.3","t10s.4","t10s.5","t10s.6"
"1",2004,0.27,0.23,0.2,0.29,0.25,0.25,20.3
"2",2005,0.26,0.23,0.19,0.28,0.25,0.24,19.7
"3",2006,0.26,0.23,0.2,0.28,0.24,0.24,19.9
"4",2007,0.28,0.24,0.21,0.3,0.26,0.25,21
"5",2008,0.28,0.25,0.21,0.3,0.27,0.25,21.1
"6",2009,0.27,0.24,0.2,0.29,0.25,0.24,20.4
"7",2010,0.27,0.24,0.21,0.28,0.25,0.24,20.8
"8",2011,0.28,0.25,0.22,0.3,0.27,0.25,21.7
"9",2012,0.29,0.25,0.22,0.3,0.26,0.25,21.8
"10",2013,0.29,0.25,0.22,0.31,0.27,0.26,22
"11",2014,0.3,0.26,0.23,0.32,0.28,0.27,22.9
"12",2015,0.3,0.26,0.22,0.32,0.27,0.27,22.6
"13",2016,0.31,0.27,0.23,0.33,0.28,0.28,23.1
"14",2017,0.3,0.26,0.23,0.32,0.28,0.27,22.9
