"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value"
"2003","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","22 515"
"2004","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","22 754"
"2005","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","23 294"
"2006","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","24 013"
"2007","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","25 113"
"2008","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","26 030"
"2009","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","25 897"
"2010","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","26 915"
"2011","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","29 347"
"2012","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","29 690"
"2013","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","30 082"
"2014","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","31 108"
"2015","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","31 518"
"2016","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","32 141"
"2017","Dänemark","Insgesamt","Insgesamt","Durchschnittliches Äquivalenzgesamtnettoeinkommen","Euro","32 792"
