"","i11","i12","i13","i21","i22","i23","Statbank_pre_tax_a","Statbank_pre_tax_b","Statbank_prim_a","Statbank_prim_b","Statbank_disp_a","Statbank_disp_b"
"2004",34430.34,40891.98,28370.61,32915.76,38678.16,27293.91,236666,238215,168134,237080,160083,160875
"2005",34474.53,40681.39,28651.63,33033.01,38532.54,27482.93,245875,247663,174473,245625,166784,167673
"2006",34915.35,41210.6,28964.12,33469.94,39112.04,27832.18,257613,259280,183647,257448,173270,174083
"2007",36614.52,42788.87,30037.79,32767.63,37975.43,33077.26,269032,270672,191218,265629,177530,178330
"2008",36455.49,42404.63,29727.99,32664.52,37697.24,32687.69,271390,273256,195540,275074,176201,177092
"2009",36382.8,42570.6,29976.66,32939.52,38202.15,33342.34,267987,270373,191138,273944,179308,180497
"2010",36123.19,42613.77,30575.51,32705.73,38206.55,33734.08,279122,280284,194934,285607,195011,195626
"2011",36733.95,43568.14,31416.4,33424.57,39197.48,34724.54,282647,283699,196528,288986,199057,199654
"2012",35532.7,42582.28,30931.32,33039.8,39163.04,34834.15,288684,289658,199889,296165,204037,204614
"2013",36410.88,43735.41,31577.54,34227.54,40682.65,36100.98,293979,294959,202615,299829,209655,210194
"2014",37655.67,45537.1,32676.44,36375.47,43379.57,31693.98,298785,299731,205509,304272,214009,214528
"2015",38132.84,46178.73,33226.56,36793.45,43959.14,32104.97,308144,309197,210232,311822,220185,220773
"2016",39909.14,47567.6,33624.55,38451.81,45292.76,32772,312073,313318,214610,316994,223438,224128
"2017",39785.66,47722.42,33775.7,38356.84,45432.31,32784.68,320040,321322,221326,324951,229875,230580
