"","statistic","statistic.1","statistic.2","statistic.3","statistic.4","statistic.5"
"2004",0.53,0.57,0.57,0.43,0.5,0.5
"2005",0.54,0.58,0.57,0.42,0.5,0.5
"2006",0.53,0.57,0.57,0.43,0.5,0.5
"2007",0.54,0.57,0.57,0.42,0.49,0.49
"2008",0.54,0.58,0.58,0.43,0.5,0.5
"2009",0.54,0.57,0.57,0.43,0.5,0.5
"2010",0.54,0.58,0.57,0.43,0.5,0.5
"2011",0.53,0.56,0.57,0.44,0.52,0.52
"2012",0.54,0.57,0.57,0.42,0.49,0.49
"2013",0.54,0.57,0.57,0.44,0.51,0.51
"2014",0.54,0.58,0.58,0.43,0.5,0.5
"2015",0.53,0.57,0.57,0.42,0.5,0.5
"2016",0.53,0.57,0.57,0.43,0.5,0.5
"2017",0.52,0.56,0.56,0.42,0.51,0.51
